OBJECTID,contract_number,contract_description,contractor_id,contractor_name,contract_status,contract_type,contract_subtype,last_modified,original_amount,revised_amount,vendor_id,vendor_name,objectid_1,aging,,,
1,91800268,CJIS/CDE - CONTINUATION OF SERVICES FOR FY 19     ,19818,"EVERBRIDGE, INC.",CLOSED,GS   (GEN SERV),,2019/04/02 00:00:00+00,1037830,877933.38,416,BUNCOMBE COUNTY FINANCE DEPT,0,90+,,,
2,91500051,DISASTER AND ENS REGISTRATION SERVICES            ,10814,COTTON GRAPHICS,CLOSED,GS   (GEN SERV),,2015/05/18 00:00:00+00,6000,6000,2706,UNITED WAY OF ASHEVILLE & BUNC,1,61-90,,,
3,91000424,WEED & SEED CONTRACTOR                            ,94,ROTARY INTERNATIONAL,CLOSED,GS   (GEN SERV),,2010/08/19 00:00:00+00,4000,4000,9010,PISGAH VIEW COMMUNITY PEACE GARDEN,2,Current,,,
4,91000588,WEED & SEED RESOURCE PROVIDER                     ,8408,ROB SEBRELL,CLOSED,GS   (GEN SERV),,2010/08/19 00:00:00+00,3500,3500,9012,GREEN OPPORTUNITIES INC,3,Current,,,
5,91100175,CARWASH FOR POLICE VEHICLE FY 2010-2011           ,10094,"PREZANT, DR. ROSS",CLOSED,GENERAL,,2013/06/10 00:00:00+00,32000,91344,20456,"ZIPS CAR WASH, LLC",4,90+,,,
6,91000322,PSYCHOLOGICAL TESTING FOR APD EMPLOYEES           ,8458,JIMMY L BRANCH JR.,CLOSED,GENERAL,,2010/09/28 00:00:00+00,3500,18500,8100,"LAW ENFORCEMENT SERVICES GROUP, PLLC",5,1-30,,,
7,91100099,SIGN FOR STATION 12                               ,37970,APPALACHIAN SITEWORK INC,CLOSED,GENERAL,,2010/07/07 00:00:00+00,1200,1200,8471,CHEADLE'S AUTO ART,6,Current,,,
8,91900109,SWANNANOA 1: PRELIM CORRIDOR DESIGN .             ,10874,"CONNORS, KEVIN - DO NOT USE",POSTED,PRO  (PRO SERVIC),,2021/08/20 00:00:00+00,162401.91,657930.42,14246,"EQUINOX ENVIRON. CONSULT. & DESIGN, INC",7,Current,,,
9,92100429,HVAC DUCT CLEANING IN ARENA                       ,6524,SUNGARD PUBLIC SECTOR,POSTED,GS   (GEN SERV),,2021/08/20 00:00:00+00,16789.38,16789.38,28417,GENTRY HEATING LLC,8,90+,,,
10,91600212,PAVE SLUICEWAY & ASSOCIATED PROJECTS              ,12723,"DELTA HOUSE LIFE DEVELOPMENT OF ASHEVILLE, INC.",CLOSED,CON  (CONSTUCT/R),,2016/03/18 00:00:00+00,16000,16000,5260,"B ALLEN CONSTRUCTION, INC.",9,31-60,,,
11,91900098,LABS ANALYSIS FOR WATER PRODUCTION 2019           ,28247,DOVETAIL PARTNERS INC,CLOSED,GS   (GEN SERV),,2020/06/12 00:00:00+00,15146,17313,4983,ENVIRONMENTAL TESTING SOLUTION,10,Current,,,
12,92000088,FLEET ASSET MANAGEMENT IMPLEMENTATION             ,11157,"US SECURITY ASSOCIATES, INC.",POSTED,PRO  (PRO SERVIC),,2021/08/20 00:00:00+00,89999,89999,22777,TIMMONS GROUP INC.,11,Current,,,
