id,company_name
416,BUNCOMBE COUNTY FINANCE DEPT
2706,UNITED WAY OF ASHEVILLE & BUNC
9010,PISGAH VIEW COMMUNITY PEACE GARDEN
9012,GREEN OPPORTUNITIES INC
20456,"ZIPS CAR WASH, LLC"
8100,"LAW ENFORCEMENT SERVICES GROUP, PLLC"
8471,CHEADLE'S AUTO ART
14246,"EQUINOX ENVIRON. CONSULT. & DESIGN, INC"
28417,GENTRY HEATING LLC
5260,"B ALLEN CONSTRUCTION, INC."
4983,ENVIRONMENTAL TESTING SOLUTION
22777,TIMMONS GROUP INC.
2037,PISGAH LEGAL SERVICES
10651,"SANGIOVANNI, JAMES"
14922,ROBERT L. SIMMONS
13965,"CONTINUANT, INC."
19132,PROJECT LIGHTEN UP
31405,"TRAFFIC PLANNING AND DESIGN, INC."
7136,MICHAEL A TAYLOR
7233,"KATHY MARTH, M. A."
10516,I HAVE A DREAM FOUNDATION
4203,CAVANAUGH & ASSOCIATES PA
4574,KIMLEY-HORN AND ASSOCIATES
16962,"CODE STUDIO, INC."
18553,"DEANGELO BROTHERS, INC."
27294,MUSCO SPORTS LIGHTING
28140,MEDIA PARTNERS CORP
6106,DURALINE IMAGING INC
17071,"COMMERCIAL INSURANCE CONSULTANTS, INC."
19978,"BULLINGTON CONSTRUCTION, INC."
21537,"DUDE SOLUTIONS, INC."
23888,"HILLS MACHINERY COMPANY,LLC"
20306,HYPERSIGN LLC
27597,AAR OF NORTH CAROLINA INC
11516,"MOTOROLA SOLUTIONS, INC."
585,CAROLINA CORNERSTONE CONSTRUCT
10431,ARMEN CONSTRUCTION LLC.
20274,"FIELD CONSTRUCTION SERVICES, INC."
7306,MOUNTAIN MARIONETTES
12914,ASHEVILLE-BUNCOMBE REGIONAL SPORTS COMMISSION
21051,"BROOKS NETWORK SERVICES, LLC"
5720,JUDY EUBANKS
5763,SCHOOL OF GOVERNMENT
5519,"JOHNSON CONTROLS, INC."
33805,AUSTIN CONSTRUCTION AND GRADING COMPANY
8364,"EMA RESOURCES, INC"
3353,I A T S E LOCAL 278
2926,Y W C A
1343,ICI DOOR CONTROL
10512,"BP SOLUTIONS GROUP, INC."
12332,"WOOD ENVIRONMENT & INFRASTRUCTURE SOLUTIONS, INC."
19645,APPALACHIAN SUSTAINAINABLE AGRICULTURE PROJECT
31351,ERICK LEE
32900,"WTAPS, LLC"
36326,"FLOODFOCUS ENGINEERING, INC."
8768,SOUTHERN STATES COOPERATIVE
8157,ITT WATER & WASTEWATER USA
7919,"REAL ESTATE RESEARCH CONSULTANTS, INC."
7221,CATALOOCHEE SKI PATROL
12971,T. P. HOWARDS PLUMBING CO INC
7544,JT MENZER DBA THE NATURAL GARDENER
7265,SIMPLEXGRINNELL
6812,NC ARBORETUM SOCIETY
10235,ERIKA GERMER
14496,"HAIZLIP STUDIO, PLLC"
14080,"A&D ENVIRONMENTAL SERVICES, INC."
